PLAZA,CR TIENDA,DESC_TIENDA,MONTO SIN IMPUESTOS ,MONTO CON IMPUESTOS 
10GUD Zapopan,5064F,La Primavera GDL,360,426.6
10GUD Zapopan,506ER,Granja GDL,270,319.95
10GUD Zapopan,507S1,Estacion Copalita GDL,45,53.325
10GUD Zapopan,507XK,Villa Plata GDL,405,479.925
10GUD Zapopan,50835,Paseo de las Flores,45,53.325
10GUD Zapopan,508DZ,Acuatico GDL,180,213.3
10GUD Zapopan,509JR,Aurora Boreal GDL,180,213.3
10GUD Zapopan,509MA,Zapopan Plaza GDL,150,177.75
10GUD Zapopan,50A22,Arenal GDL,200,237
10GUD Zapopan,50AOL,Lomas Altas GDL,405,479.925
10GUD Zapopan,50CC8,SIVEC GDL,250,296.25
10GUD Zapopan,50CGP,Economos GDL,45,53.325
10GUD Zapopan,50CGW,Canteras GDL,90,106.65
10GUD Zapopan,50COR,Cordilleras GDL,45,53.325
10GUD Zapopan,50CZY,Concentro GDL,270,319.95
10GUD Zapopan,50DBQ,Deportes GDL,45,53.325
10GUD Zapopan,50DY0,Parque Galerias GDL,45,53.325
10GUD Zapopan,50FGF,Gomez Farias GDL,225,266.625
10GUD Zapopan,50FHY,San Bernardo GDL,450,533.25
10GUD Zapopan,50FRL,Federalistas GDL,150,177.75
10GUD Zapopan,50FSY,Doctores GDL,315,373.275
10GUD Zapopan,50FTL,Seatle GDL,225,266.625
10GUD Zapopan,50FZM,Valle de Bravo GDL,90,106.65
10GUD Zapopan,50G1G,Asis GDL,225,266.625
10GUD Zapopan,50GBJ,San Juan Bosco GDL,100,118.5
10GUD Zapopan,50GJR,Jardin Real GDL,1980,2346.3
10GUD Zapopan,50GMS,Geminis GDL,270,319.95
10GUD Zapopan,50GQB,DE LA MORA GDL,180,213.3
10GUD Zapopan,50GVR,Virreyes GDL,180,213.3
10GUD Zapopan,50JQS,San Francisco Chapalita GDL,180,213.3
10GUD Zapopan,50JVC,JVC GDL,180,213.3
10GUD Zapopan,50JZA,Aviacion GDL,225,266.625
10GUD Zapopan,50KHA,De la Mancha GDL,350,414.75
10GUD Zapopan,50KX9,Plaza Santa Fe GDL,50,59.25
10GUD Zapopan,50LGA,ARMONIA GDL,135,159.975
10GUD Zapopan,50LSV,Las Villas GDL,150,177.75
10GUD Zapopan,50LUQ,Luis Quintero GDL,90,106.65
10GUD Zapopan,50LVN,La Venta GDL,135,159.975
10GUD Zapopan,50MVL,Marina Vallarta GDL,400,474
10GUD Zapopan,50N00,Attala GDL,810,959.85
10GUD Zapopan,50N6P,Saltillo Villas GDL,45,53.325
10GUD Zapopan,50NGU,Munguia GDL,180,213.3
10GUD Zapopan,50NMR,Panamericano GDL,1215,1439.775
10GUD Zapopan,50NQI,Amatitan GDL,45,53.325
10GUD Zapopan,50NQK,Mabuse GDL,315,373.275
10GUD Zapopan,50NTD,San Gonzalo GDL,180,213.3
10GUD Zapopan,50NUN,Naciones Unidas GDL,585,693.225
10GUD Zapopan,50OCD,Colinas del Rey GDL,50,59.25
10GUD Zapopan,50OX7,Parque De Las Aves GDL,50,59.25
10GUD Zapopan,50OYA,Lenadores GDL,45,53.325
10GUD Zapopan,50P45,Las Cumbres GDL,675,799.875
10GUD Zapopan,50PAX,Las Palmas GDL,135,159.975
10GUD Zapopan,50PBR,Jacarandas GDL,1080,1279.8
10GUD Zapopan,50PCM,Dante Alighieri GDL,90,106.65
10GUD Zapopan,50PPA,Pabellon GDL,675,799.875
10GUD Zapopan,50PU8,Fontee GDL,405,479.925
10GUD Zapopan,50PUH,Puerta de Hierro GDL,1080,1279.8
10GUD Zapopan,50QFQ,Complejo Tenis GDL,270,319.95
10GUD Zapopan,50QXR,Flex GDL,45,53.325
10GUD Zapopan,50S3A,Gral Cananea GDL,135,159.975
10GUD Zapopan,50SA0,San Juan De Ocotan GDL,400,474
10GUD Zapopan,50SBC,Sebastian Bach GDL,315,373.275
10GUD Zapopan,50SFU,Sofia II GDL,100,118.5
10GUD Zapopan,50SHN,San Ignacio GDL,225,266.625
10GUD Zapopan,50SKU,Calandrias GDL,45,53.325
10GUD Zapopan,50STX,Cd. Judicial GDL,495,586.575
10GUD Zapopan,50SV0,Andares II GDL,45,53.325
10GUD Zapopan,50SXU,Solares GDL,945,1119.825
10GUD Zapopan,50TAB,Tabachines GDL,90,106.65
10GUD Zapopan,50TVN,Taven GDL,495,586.575
10GUD Zapopan,50TXS,Texas GDL,225,266.625
10GUD Zapopan,50UCM,Camecuaro GDL,100,118.5
10GUD Zapopan,50UGW,Servidor Publico GDL,1080,1279.8
10GUD Zapopan,50UWU,Technology GDL,450,533.25
10GUD Zapopan,50V0L,Baring GDL,45,53.325
10GUD Zapopan,50VC3,Jardines de las fuentes GDL,270,319.95
10GUD Zapopan,50VJV,StaMadelPueblito GDL,180,213.3
10GUD Zapopan,50VQW,Andares GDL,360,426.6
10GUD Zapopan,50VRL,Valle Real GDL,135,159.975
10GUD Zapopan,50VRN,Verona GDL,405,479.925
10GUD Zapopan,50VYT,Bellaterra GDL,405,479.925
10GUD Zapopan,50VZY,Mercado del Mar GDL,45,53.325
10GUD Zapopan,50W72,Guayabos GDL,200,237
10GUD Zapopan,50WAO,Fermin Riestra GDL,1080,1279.8
10GUD Zapopan,50WVJ,Empresarios GDL,450,533.25
10GUD Zapopan,50XDE,Tomas de Aquino GDL,270,319.95
10GUD Zapopan,50XRQ,Plaza Tabachines GDL,45,53.325
10GUD Zapopan,50Z00,Altaluz GDL,45,53.325
10GUD Zapopan,50ZQP,Zoquipan GDL,45,53.325
10LGA Durango,5007C,Del Tagarete DGO,50,59.25
10LGA Durango,500D8,Cielo TRC,100,118.5
10LGA Durango,500JJ,El Nayar DGO,50,59.25
10LGA Durango,500W2,Llano Grande DGO,50,59.25
10LGA Durango,5021Z,Santiago Lomas DGO,50,59.25
10LGA Durango,5022K,Senderos DGO,50,59.25
10LGA Durango,502DU,Atardecer DGO,100,118.5
10LGA Durango,503G5,Tierra Y Libertad DGO,50,59.25
10LGA Durango,503JV,Guerrero Via Lactea DGO,150,177.75
10LGA Durango,503PN,Aserradero DGO,200,237
10LGA Durango,503V0,Gas Hulmaq DGO,100,118.5
10LGA Durango,503WL,Laurel TRC,50,59.25
10LGA Durango,5047M,Santa Catarina DGO,200,237
10LGA Durango,504A7,Santa FE DGO,50,59.25
10LGA Durango,504P3,San Daniel DGO,800,948
10LGA Durango,504UQ,Ricardo Castro DGO,350,414.75
10LGA Durango,504VR,Santiago CNOP DGO,50,59.25
10LGA Durango,5051M,Cedro DGO,100,118.5
10LGA Durango,5059L,TepehuanesCentroDGO,100,118.5
10LGA Durango,505CC,Aranzazu DGO,150,177.75
10LGA Durango,505FY,Suchil DGO,50,59.25
10LGA Durango,506BO,Pitayo DGO,150,177.75
10LGA Durango,506DH,Tlaxcala DGO,100,118.5
10LGA Durango,506HH,Ramirez DGO,300,355.5
10LGA Durango,506KS,Abasolo DGO,200,237
10LGA Durango,506PX,Constelaciones II DGO,50,59.25
10LGA Durango,506R7,Coyotes DGO,50,59.25
10LGA Durango,5071L,Revueltas DGO,100,118.5
10LGA Durango,5077M,Faisan DGO,50,59.25
10LGA Durango,507M4,Cromo Dgo TRC,150,177.75
10LGA Durango,507MV,Juarez DGO,50,59.25
10LGA Durango,507U3,CBTA DGO,500,592.5
10LGA Durango,5085E,Vicente Guerrero IV DGO,100,118.5
10LGA Durango,508CJ,Colibri DGO,350,414.75
10LGA Durango,508L0,California TRC,50,59.25
10LGA Durango,508MK,La Curva TRC,100,118.5
10LGA Durango,509PZ,Industrial DGO,100,118.5
10LGA Durango,50ADV,Adventure DGO,200,237
10LGA Durango,50AU5,El Salto Canal DGO,200,237
10LGA Durango,50AW7,Heroes DGO,100,118.5
10LGA Durango,50B9N,Campeche TRC,50,59.25
10LGA Durango,50BA1,Guerrero Carretera DGO,100,118.5
10LGA Durango,50BCT,Sedue DGO,100,118.5
10LGA Durango,50BCV,Aranjuez DGO,100,118.5
10LGA Durango,50BSC,Brasil DGO,200,237
10LGA Durango,50BTD,Libertad DGO,450,533.25
10LGA Durango,50BY9,Luz y Esperanza DGO,250,296.25
10LGA Durango,50BZZ,Beliziario Dmz. DGO,200,237
10LGA Durango,50CEB,Camino Real DGO,150,177.75
10LGA Durango,50CKW,Cuauhtemoc DGO,100,118.5
10LGA Durango,50CRY,Cantarranas DGO,550,651.75
10LGA Durango,50CSX,Elorreaga DGO,300,355.5
10LGA Durango,50CUL,Urdinola DGO,250,296.25
10LGA Durango,50CWN,Canatlan DGO,50,59.25
10LGA Durango,50D76,Caletto DGO,350,414.75
10LGA Durango,50DJR,Jacarandas DGO,50,59.25
10LGA Durango,50DKY,Patria Libre DGO,100,118.5
10LGA Durango,50DLW,Florida DGO,50,59.25
10LGA Durango,50DPE,Pescador DGO,50,59.25
10LGA Durango,50DRM,Real delMezquitalDGO,250,296.25
10LGA Durango,50DSI,San Ignacio DGO,300,355.5
10LGA Durango,50DZU,Valle del Sur DGO,100,118.5
10LGA Durango,50EA4,Guatimape DGO,100,118.5
10LGA Durango,50EDU,Educacion DGO,50,59.25
10LGA Durango,50EET,Miravalles DGO,200,237
10LGA Durango,50EGR,Negrete DGO,400,474
10LGA Durango,50ENF,Solidaridad DGO,500,592.5
10LGA Durango,50ERW,Victoria DGO,300,355.5
10LGA Durango,50ESW,Esperanza DGO,800,948
10LGA Durango,50F4J,Santiago Calzada DGO,100,118.5
10LGA Durango,50FBY,5 de Febrero DGO,150,177.75
10LGA Durango,50FLG,Villa DGO,300,355.5
10LGA Durango,50FMU,Catedral DGO,200,237
10LGA Durango,50FQ5,Santiago Ferrocarril DGO,50,59.25
10LGA Durango,50FVI,Azcapotzalco DGO,250,296.25
10LGA Durango,50FVL,Fidel Velazquez DGO,350,414.75
10LGA Durango,50GFK,Guadiana DGO,250,296.25
10LGA Durango,50GH9,Hacienda De Tapias DGO,100,118.5
10LGA Durango,50GLY,La Glorieta DGO,150,177.75
10LGA Durango,50GNL,Magnolia DGO,50,59.25
10LGA Durango,50GOQ,Estroncio DGO,450,533.25
10LGA Durango,50GRR,Cima DGO,100,118.5
10LGA Durango,50H3Q,Tepehuanes Carretera TRC,150,177.75
10LGA Durango,50H9P,El Ancon TRC,50,59.25
10LGA Durango,50HDZ,Nuevo Durango DGO,150,177.75
10LGA Durango,50HEF,H Especialidades DGO,200,237
10LGA Durango,50HEW,EL Chino DGO,700,829.5
10LGA Durango,50HHS,Santa Maria DGO,50,59.25
10LGA Durango,50HMK,Hipodromo DGO,200,237
10LGA Durango,50HUU,Contreras DGO,500,592.5
10LGA Durango,50HWI,Tapias DGO,150,177.75
10LGA Durango,50IAV,CANELAS DGO,200,237
10LGA Durango,50IDO,Domingo Arrieta DGO,600,711
10LGA Durango,50IPW,Cipres DGO,200,237
10LGA Durango,50IQL,Loma Bonita DGO,50,59.25
10LGA Durango,50IVC,IV Centenario DGO,400,474
10LGA Durango,50IWM,Oriente DGO,50,59.25
10LGA Durango,50IX4,Generales DGO,200,237
10LGA Durango,50IXE,Mexico DGO,250,296.25
10LGA Durango,50JAR,Jardines DGO,300,355.5
10LGA Durango,50JFC,Gabino DGO,200,237
10LGA Durango,50JHB,Ferrocarril DGO,50,59.25
10LGA Durango,50JHC,Francia DGO,200,237
10LGA Durango,50JHG,Div. del Norte DGO,200,237
10LGA Durango,50JHI,Las Fuentes DGO,250,296.25
10LGA Durango,50JLA,Los Angeles DGO,50,59.25
10LGA Durango,50JPE,Soledad DGO,50,59.25
10LGA Durango,50JRS,Las Rosas DGO,100,118.5
10LGA Durango,50JWW,H General DGO,150,177.75
10LGA Durango,50K9G,Milenio DGO,100,118.5
10LGA Durango,50KAN,Aluminio DGO,250,296.25
10LGA Durango,50KAO,Americas DGO,850,1007.25
10LGA Durango,50KBD,V. del Manantial DGO,50,59.25
10LGA Durango,50KBG,Colima DGO,50,59.25
10LGA Durango,50KBI,ISSSTE DGO,250,296.25
10LGA Durango,50KF7,Saturno TRC,250,296.25
10LGA Durango,50KFO,Forestal DGO,100,118.5
10LGA Durango,50KHD,Maximo Gamiz DGO,50,59.25
10LGA Durango,50KMP,Ocampo DGO,250,296.25
10LGA Durango,50KPJ,LICEAGA DGO,50,59.25
10LGA Durango,50KPZ,Pino Suarez DGO,100,118.5
10LGA Durango,50KRP,Real del Prado DGO,150,177.75
10LGA Durango,50KZA,Zacatecas DGO,50,59.25
10LGA Durango,50LAS,Coscomate II DGO,50,59.25
10LGA Durango,50LBI,Las Brisas DGO,400,474
10LGA Durango,50LEA,Mendez DGO,100,118.5
10LGA Durango,50LI0,Bolivar DGO,50,59.25
10LGA Durango,50LIV,Presidios DGO,50,59.25
10LGA Durango,50LMU,Fanny Anitua DGO,150,177.75
10LGA Durango,50LUA,Laureano Roncal DGO,100,118.5
10LGA Durango,50MGD,Mar de Plata DGO,400,474
10LGA Durango,50MPU,Alberto Terrones DGO,250,296.25
10LGA Durango,50MPX,Agata DGO,100,118.5
10LGA Durango,50MWI,Mercurio DGO,500,592.5
10LGA Durango,50MZQ,Mezquital DGO,150,177.75
10LGA Durango,50NKK,Jose Maria DGO,50,59.25
10LGA Durango,50NVG,Delta DGO,200,237
10LGA Durango,50NZ7,Chiapas DGO,50,59.25
10LGA Durango,50OCG,Cancun DGO,100,118.5
10LGA Durango,50ODP,del Parque DGO,100,118.5
10LGA Durango,50OF1,Moyote DGO,550,651.75
10LGA Durango,50OML,Lomas DGO,250,296.25
10LGA Durango,50OND,20 de Noviembre DGO,50,59.25
10LGA Durango,50OQ4,Guerra TRC,100,118.5
10LGA Durango,50OVP,Villas Campestre DGO,200,237
10LGA Durango,50OYK,Insurgentes II DGO,300,355.5
10LGA Durango,50P31,Poblado Pino Suarez TRC,50,59.25
10LGA Durango,50P5A,Paseo Durango DGO,500,592.5
10LGA Durango,50P5L,Claveles DGO,50,59.25
10LGA Durango,50PGF,La Salle DGO,200,237
10LGA Durango,50PGR,Altamirano DGO,200,237
10LGA Durango,50PPD,Primo de Verdad DGO,50,59.25
10LGA Durango,50PRE,Premier DGO,150,177.75
10LGA Durango,50Q88,Juventud DGO,50,59.25
10LGA Durango,50QI8,La Cantera DGO,100,118.5
10LGA Durango,50QV0,Santiago Valle DGO,50,59.25
10LGA Durango,50R52,La Coruna DGO,150,177.75
10LGA Durango,50R83,Leyva TRC,100,118.5
10LGA Durango,50RAQ,Parral DGO,450,533.25
10LGA Durango,50RGB,Zarco DGO,300,355.5
10LGA Durango,50RMJ,El Saltito DGO,200,237
10LGA Durango,50RNK,Korian DGO,50,59.25
10LGA Durango,50RRD,Remedios DGO,150,177.75
10LGA Durango,50RSE,Versalles DGO,150,177.75
10LGA Durango,50RSG,Yucatan DGO,50,59.25
10LGA Durango,50SBY,Siberia DGO,300,355.5
10LGA Durango,50SDJ,Cienega II DGO,150,177.75
10LGA Durango,50SEB,Santiago Centro DGO,300,355.5
10LGA Durango,50SEX,Atenas DGO,150,177.75
10LGA Durango,50SJC,Concordia DGO,100,118.5
10LGA Durango,50SWH,Lomas El Salto DGO,50,59.25
10LGA Durango,50SYU,Santiago DGO,200,237
10LGA Durango,50TDT,Tecno DGO,350,414.75
10LGA Durango,50TSU,Haciendas DGO,50,59.25
10LGA Durango,50TVW,Teresa deCalcultaDGO,300,355.5
10LGA Durango,50TVZ,Juan Pablo II DGO,300,355.5
10LGA Durango,50TWK,Aranza DGO,150,177.75
10LGA Durango,50UBV,Baca Ortiz DGO,300,355.5
10LGA Durango,50UDR,Dolores del Rio DGO,250,296.25
10LGA Durango,50UJX,Constelaciones DGO,150,177.75
10LGA Durango,50UNV,Universidad DGO,150,177.75
10LGA Durango,50URZ,Constitucion DGO,400,474
10LGA Durango,50V2G,Amatista TRC,50,59.25
10LGA Durango,50V38,Entronque Topia DGO,50,59.25
10LGA Durango,50VA7,El Nogal DGO,50,59.25
10LGA Durango,50VQZ,Vazquez DGO,150,177.75
10LGA Durango,50VS8,Rio Grande DGO,50,59.25
10LGA Durango,50VWE,Vizcaya DGO,150,177.75
10LGA Durango,50VWT,V. del Mezquital DGO,50,59.25
10LGA Durango,50W5L,Gas Primo DGO,50,59.25
10LGA Durango,50WJN,Patoni DGO,100,118.5
10LGA Durango,50WJY,Privanzas DGO,50,59.25
10LGA Durango,50WV2,Pirineos DGO,50,59.25
10LGA Durango,50X3X,15 De Mayo DGO,50,59.25
10LGA Durango,50XGN,Nuevo Ideal DGO,100,118.5
10LGA Durango,50XMQ,5 de Mayo DGO,50,59.25
10LGA Durango,50Y2G,Rio Dorado DGO,300,355.5
10LGA Durango,50YKD,Alameda DGO,300,355.5
10LGA Durango,50YL2,Holanda Gas DGO,100,118.5
10LGA Durango,50YPB,Galeon DGO,300,355.5
10LGA Durango,50YSO,Delphi DGO,500,592.5
10LGA Durango,50Z91,Los Vi edos DGO,150,177.75
10LGA Durango,50ZFW,Amellal DGO,250,296.25
10LGA Durango,50ZHD,Hidalgo DGO,100,118.5
10LGA Durango,50ZHG,Villas del Guadiana I DGO,50,59.25
10LGA Durango,50ZLM,Colinas DGO,100,118.5
10LGA Durango,50ZUO,Sahop DGO,350,414.75
10LGA Gomez Palacio,50021,Rinconada TRC,50,59.25
10LGA Gomez Palacio,5002C,La Parcela TRC,100,118.5
10LGA Gomez Palacio,5003N,Justo Sierra TRC,100,118.5
10LGA Gomez Palacio,5005U,Las Cuevas TRC,50,59.25
10LGA Gomez Palacio,500FE,Las Nieves DGO,50,59.25
10LGA Gomez Palacio,500IY,Paseo Morelos,200,237
10LGA Gomez Palacio,502H2,Eden TRC,200,237
10LGA Gomez Palacio,502XU,Ceballos Centro TRC,50,59.25
10LGA Gomez Palacio,5033K,Gas Huarache TRC,100,118.5
10LGA Gomez Palacio,503CI,Autopista Bermejillo 2 TRC,50,59.25
10LGA Gomez Palacio,503P4,Gas Guadiana LGA,100,118.5
10LGA Gomez Palacio,503PA,Autopista Zona del Silencio 2 TRC,50,59.25
10LGA Gomez Palacio,5046P,Madariaga TRC,50,59.25
10LGA Gomez Palacio,504PC,Centro Cobian TRC,200,237
10LGA Gomez Palacio,505FP,El Dorado TRC,50,59.25
10LGA Gomez Palacio,505MO,Gas Tlahualilo TRC,50,59.25
10LGA Gomez Palacio,505QS,J Agustin Castro TRC,100,118.5
10LGA Gomez Palacio,505S6,San Vicente TRC,50,59.25
10LGA Gomez Palacio,505UP,San Juan DGO,100,118.5
10LGA Gomez Palacio,506B4,5 De Mayo II TRC,100,118.5
10LGA Gomez Palacio,506EX,Coronado TRC,50,59.25
10LGA Gomez Palacio,50736,Chihuahua TRC,50,59.25
10LGA Gomez Palacio,50787,Mexico 91 TRC,50,59.25
10LGA Gomez Palacio,507AJ,Victoria TRC,950,1125.75
10LGA Gomez Palacio,507P4,Hidalgo TRC,50,59.25
10LGA Gomez Palacio,507VM,Campanario TRC,350,414.75
10LGA Gomez Palacio,5088B,Autonoma De La Laguna TRC,100,118.5
10LGA Gomez Palacio,508PO,Paseo Gomez TRC,50,59.25
10LGA Gomez Palacio,508XA,Cedros TRC,50,59.25
10LGA Gomez Palacio,50ARD,Gzz. de la Vega TRC,150,177.75
10LGA Gomez Palacio,50AW3,Hangar TRC,100,118.5
10LGA Gomez Palacio,50AYM,Aymes TRC,150,177.75
10LGA Gomez Palacio,50B13,Denevola TRC,150,177.75
10LGA Gomez Palacio,50B7X,Castilagua TRC,50,59.25
10LGA Gomez Palacio,50BGK,Gpe. Victoria II DGO,50,59.25
10LGA Gomez Palacio,50BI6,Nuve TRC,100,118.5
10LGA Gomez Palacio,50CG8,Villa Juarez TRC,50,59.25
10LGA Gomez Palacio,50CHX,Chapala TRC,150,177.75
10LGA Gomez Palacio,50DEH,Filadelfia TRC,200,237
10LGA Gomez Palacio,50DN6,Gas Lucero,100,118.5
10LGA Gomez Palacio,50DQP,Madero DGO,150,177.75
10LGA Gomez Palacio,50DSO,Durango TRC,200,237
10LGA Gomez Palacio,50E5F,Central DGO,200,237
10LGA Gomez Palacio,50ECM,Fidel Velazquez TRC,50,59.25
10LGA Gomez Palacio,50ES4,Moderna TRC,100,118.5
10LGA Gomez Palacio,50FES,Camionera Chih. TRC,50,59.25
10LGA Gomez Palacio,50FRK,Forrajera TRC,50,59.25
10LGA Gomez Palacio,50FRO,Fresnos TRC,50,59.25
10LGA Gomez Palacio,50FZU,Francisco Villa TRC,150,177.75
10LGA Gomez Palacio,50G1V,Madero Chavarria DGO,50,59.25
10LGA Gomez Palacio,50GDF,Guadiana TRC,300,355.5
10LGA Gomez Palacio,50GUF,Las Cruces TRC,50,59.25
10LGA Gomez Palacio,50H0D,Zacatecas TRC,250,296.25
10LGA Gomez Palacio,50HDE,Presidencia TRC,150,177.75
10LGA Gomez Palacio,50HHW,Chihuas TRC,200,237
10LGA Gomez Palacio,50HRM,Est Bermejillo TRC,100,118.5
10LGA Gomez Palacio,50I26,Muzquiz TRC,50,59.25
10LGA Gomez Palacio,50ICA,Chapala II TRC,50,59.25
10LGA Gomez Palacio,50ILG,Quintas TRC,50,59.25
10LGA Gomez Palacio,50IST,Arista TRC,200,237
10LGA Gomez Palacio,50J52,San Juan II DGO,100,118.5
10LGA Gomez Palacio,50JML,Mapimi TRC,50,59.25
10LGA Gomez Palacio,50JPN,Japon TRC,50,59.25
10LGA Gomez Palacio,50KC5,Penon Blanco DGO,50,59.25
10LGA Gomez Palacio,50KIU,Rodriguez TRC,300,355.5
10LGA Gomez Palacio,50LLX,Latillas TRC,100,118.5
10LGA Gomez Palacio,50LP6,Comarca TRC,50,59.25
10LGA Gomez Palacio,50LRD,Lerdos TRC,50,59.25
10LGA Gomez Palacio,50LV4,Candelaria TRC,50,59.25
10LGA Gomez Palacio,50MOA,Monaco TRC,150,177.75
10LGA Gomez Palacio,50MUT,Renault TRC,50,59.25
10LGA Gomez Palacio,50MWR,Morelos TRC,100,118.5
10LGA Gomez Palacio,50NFA,Bugambilias TRC,50,59.25
10LGA Gomez Palacio,50NGS,Nogales TRC,150,177.75
10LGA Gomez Palacio,50NIV,Universidad TRC,100,118.5
10LGA Gomez Palacio,50NJZ,Alianza TRC,50,59.25
10LGA Gomez Palacio,50NPH,Ninos Heroes DGO,100,118.5
10LGA Gomez Palacio,50NY4,Parque Morelos TRC,150,177.75
10LGA Gomez Palacio,50NZH,Montevideo TRC,100,118.5
10LGA Gomez Palacio,50O2T,Popular TRC,350,414.75
10LGA Gomez Palacio,50O4O,La Lomita TRC,100,118.5
10LGA Gomez Palacio,50OCH,Independencia TRC,945,1119.825
10LGA Gomez Palacio,50ODA,Alameda TRC,50,59.25
10LGA Gomez Palacio,50ODH,Armas TRC,50,59.25
10LGA Gomez Palacio,50OFR,Francia TRC,100,118.5
10LGA Gomez Palacio,50OJ5,La Torrena TRC,50,59.25
10LGA Gomez Palacio,50OMG,Margaritas TRC,200,237
10LGA Gomez Palacio,50OUE,Bella Vista TRC,150,177.75
10LGA Gomez Palacio,50P6T,Vergel TRC,250,296.25
10LGA Gomez Palacio,50PA9,AMP Sacramento II,50,59.25
10LGA Gomez Palacio,50PD3,Ambulatorio LGA,50,59.25
10LGA Gomez Palacio,50PMS,Pamanes TRC,100,118.5
10LGA Gomez Palacio,50Q6Z,Cruz TRC,50,59.25
10LGA Gomez Palacio,50QE7,Frankee TRC,100,118.5
10LGA Gomez Palacio,50QRN,6 de Enero TRC,50,59.25
10LGA Gomez Palacio,50QTJ,13 de Marzo TRC,100,118.5
10LGA Gomez Palacio,50RBW,Rebollo TRC,200,237
10LGA Gomez Palacio,50RGC,Los Arcos TRC,150,177.75
10LGA Gomez Palacio,50SJ3,Antonio Amaro DGO,100,118.5
10LGA Gomez Palacio,50SPG,Aleman TRC,50,59.25
10LGA Gomez Palacio,50SPS,Constitucion TRC,50,59.25
10LGA Gomez Palacio,50T1D,Cruz Blanca TRC,150,177.75
10LGA Gomez Palacio,50TAO,Castro TRC,100,118.5
10LGA Gomez Palacio,50TJO,Tajito TRC,50,59.25
10LGA Gomez Palacio,50TNI,San Antonio TRC,50,59.25
10LGA Gomez Palacio,50TO9,Rincon Filadelfia TRC,50,59.25
10LGA Gomez Palacio,50U2U,La Loma TRC,50,59.25
10LGA Gomez Palacio,50VFU,Gas Mapimi TRC,50,59.25
10LGA Gomez Palacio,50VG1,Ignacio Allende TRC,50,59.25
10LGA Gomez Palacio,50VK4,Brittingham TRC,50,59.25
10LGA Gomez Palacio,50VOA,Los Alamos TRC,50,59.25
10LGA Gomez Palacio,50VSG,Rojos TRC,50,59.25
10LGA Gomez Palacio,50W6C,YUREN,150,177.75
10LGA Gomez Palacio,50WA4,Guerrero TRC,50,59.25
10LGA Gomez Palacio,50WSN,San Isidro TRC,50,59.25
10LGA Gomez Palacio,50WSO,Ruben Dario TRC,150,177.75
10LGA Gomez Palacio,50WZF,Plaza Colon TRC,250,296.25
10LGA Gomez Palacio,50WZZ,Granjas TRC,50,59.25
10LGA Gomez Palacio,50X1W,Conquistadores TRC,150,177.75
10LGA Gomez Palacio,50XBB,Rodeo DGO,50,59.25
10LGA Gomez Palacio,50Y9V,Tec Lerdo TRC,150,177.75
10LGA Gomez Palacio,50YD3,Madero TRC,100,118.5
10LGA Gomez Palacio,50ZHL,Chilchota TRC,100,118.5
10LGA Gomez Palacio,50ZMV,Miravalle TRC,150,177.75
10LGA SLP Norte,500X0,Hospital Dr Arroyo SLP,50,59.25
10LGA SLP Norte,501XG,UTAN SLP,100,118.5
10LGA SLP Norte,501ZC,La Virgen SLP,200,237
10LGA SLP Norte,502N4,Parador II SLP,250,296.25
10LGA SLP Norte,5032F,Pocitos SLP,100,118.5
10LGA SLP Norte,504B2,Av Del Sauce TRC,50,59.25
10LGA SLP Norte,505UO,Persefone SLP,45,53.325
10LGA SLP Norte,5068N,Valle Real SLP,100,118.5
10LGA SLP Norte,508O3,Vergeles SLP,200,237
10LGA SLP Norte,509H2,Ramos TRC,50,59.25
10LGA SLP Norte,50A3K,Ahualulco Centro TRC,50,59.25
10LGA SLP Norte,50ABM,Aualulco SLP,50,59.25
10LGA SLP Norte,50AUY,Garcia Diego SLP,45,53.325
10LGA SLP Norte,50B1T,Acceso Norte SLP,135,159.975
10LGA SLP Norte,50BGZ,Bugambilias SLP,800,948
10LGA SLP Norte,50BVQ,Bellavista SLP,50,59.25
10LGA SLP Norte,50BVW,Los Bravo SLP,90,106.65
10LGA SLP Norte,50CKS,Cactus SLP,300,355.5
10LGA SLP Norte,50CNS,Horizontes SLP,90,106.65
10LGA SLP Norte,50DRC,Monterrey SLP,150,177.75
10LGA SLP Norte,50E5W,La Virgen II TRC,50,59.25
10LGA SLP Norte,50E93,Villa de Arista SLP,150,177.75
10LGA SLP Norte,50F4B,Melchor Ocampo TRC,50,59.25
10LGA SLP Norte,50FEL,San Felipe SLP,50,59.25
10LGA SLP Norte,50FLI,Florida I SLP,700,829.5
10LGA SLP Norte,50FUM,Manuel Muro SLP,150,177.75
10LGA SLP Norte,50GME,Gemelos SLP,180,213.3
10LGA SLP Norte,50GP1,Aurora TRC,150,177.75
10LGA SLP Norte,50H1I,Parador SLP,100,118.5
10LGA SLP Norte,50HAY,Agustin Vera SLP,250,296.25
10LGA SLP Norte,50IAJ,Las Piedras SLP,200,237
10LGA SLP Norte,50IAT,Aeropuerto SLP,150,177.75
10LGA SLP Norte,50IHJ,Calle 5 SLP,200,237
10LGA SLP Norte,50IKO,Clinica Imss SLP,50,59.25
10LGA SLP Norte,50ILI,Maria Cecilia SLP,150,177.75
10LGA SLP Norte,50IMO,San Francisco SLP,50,59.25
10LGA SLP Norte,50IOE,Peotillos SLP,100,118.5
10LGA SLP Norte,50JTN,Jateno SLP,50,59.25
10LGA SLP Norte,50KJC,Carbajal SLP,200,237
