PLAZA,CR TIENDA,DESC_TIENDA,MONTO SIN IMPUESTOS ,MONTO CON IMPUESTOS 
10CAN Merida,50SAB,Pedregales MID,450,533.25
10CAN Merida,50SJT,San Juanistas MID,135,159.975
10CAN Merida,50SL9,IMSS Valladolid MID,150,177.75
10CAN Merida,50T0T,Villa Francisco MID,50,59.25
10CAN Merida,50T6K,Turquesa CUN,200,237
10CAN Merida,50TNV,Terranova MID,100,118.5
10CAN Merida,50TTD,Florida MID,270,319.95
10CAN Merida,50U8D,Arenas MID,360,426.6
10CAN Merida,50UMI,Chuminopolis MID,100,118.5
10CAN Merida,50VAK,Canirac MID,100,118.5
10CAN Merida,50VG9,Real Montejo MID,150,177.75
10CAN Merida,50VRU,Arcos MID,45,53.325
10CAN Merida,50VT5,Plaza Poligono MID,100,118.5
10CAN Merida,50W6L,San Ignacio MID,200,237
10CAN Merida,50WGZ,Poligono MID,100,118.5
10CAN Merida,50XS0,Uaymitun MID,350,414.75
10CAN Merida,50XWX,Magico MID,100,118.5
10CAN Merida,50Y31,Santa Rita Cholul MID,180,213.3
10CAN Merida,50Y39,Temozon Norte MID,450,533.25
10CAN Merida,50Z2P,Villas Cholul CUN,50,59.25
10CAN Merida,50Z64,El Pirata MID,90,106.65
10CAN Merida,50Z9W,La Estacion MID,50,59.25
10CAN Merida,50ZN9,Libertadores MID,250,296.25
10CAN Cancun,500H4,Gas Portillo CUN,50,59.25
10CAN Cancun,500KG,Serrania CUN,100,118.5
10CAN Cancun,501NW,Uqroo CUN,150,177.75
10CAN Cancun,502E2,Saona CUN,500,592.5
10CAN Cancun,502NE,Valencia CUN,50,59.25
10CAN Cancun,502VE,Xaman Kah CUN,100,118.5
10CAN Cancun,503O2,IMSS Cuchilla CUN,50,59.25
10CAN Cancun,503R7,Omni CUN,150,177.75
10CAN Cancun,505LJ,Ramonal CUN,200,237
10CAN Cancun,5061C,Mar Caribe CUN,50,59.25
10CAN Cancun,5062M,Cabo CUN,100,118.5
10CAN Cancun,5078Z,Marlyn CUN,200,237
10CAN Cancun,507W8,Kanil CUN,50,59.25
10CAN Cancun,5083N,Takh CUN,270,319.95
10CAN Cancun,508KM,Toledano CUN,50,59.25
10CAN Cancun,50943,Terranova CUN,50,59.25
10CAN Cancun,509J8,Aloja CUN,100,118.5
10CAN Cancun,509S3,La Cima CUN,100,118.5
10CAN Cancun,50AJR,Alejandria CUN,100,118.5
10CAN Cancun,50AON,Vivendi CUN,315,373.275
10CAN Cancun,50BCX,Coba CUN,100,118.5
10CAN Cancun,50BMD,Ixtepec CUN,200,237
10CAN Cancun,50BMI,Rejollada CUN,50,59.25
10CAN Cancun,50BOQ,Del Bosque CUN,250,296.25
10CAN Cancun,50C58,Poxila CUN,100,118.5
10CAN Cancun,50COK,Kabah CUN,50,59.25
10CAN Cancun,50CVD,Recondo CUN,50,59.25
10CAN Cancun,50DS1,Eclipse CUN,50,59.25
10CAN Cancun,50E8R,Cristal,810,959.85
10CAN Cancun,50ERF,Villas Otoch CUN,50,59.25
10CAN Cancun,50EUJ,Margaritas CUN,250,296.25
10CAN Cancun,50F2L,Diamante CUN,50,59.25
10CAN Cancun,50G9D,Puerto Marina CUN,540,639.9
10CAN Cancun,50G9U,Yalahau CUN,200,237
10CAN Cancun,50GC2,Aruba CUN,50,59.25
10CAN Cancun,50GH3,Canarias CUN,50,59.25
10CAN Cancun,50GJA,Talleres CUN,50,59.25
10CAN Cancun,50GJD,Portobello CUN,50,59.25
10CAN Cancun,50GKQ,Tejas CUN,100,118.5
10CAN Cancun,50GMV,Terramar CUN,300,355.5
10CAN Cancun,50GVK,Vista Real CUN,150,177.75
10CAN Cancun,50HML,Chac Mool CUN,1035,1226.475
10CAN Cancun,50HSX,San Miguel CUN,135,159.975
10CAN Cancun,50IU1,Cascanueces CUN,50,59.25
10CAN Cancun,50JKS,Galaxias del Sol CUN,100,118.5
10CAN Cancun,50JMK,Las Lajas CUN,50,59.25
10CAN Cancun,50K4U,Coqueto CUN,50,59.25
10CAN Cancun,50KW4,Male CUN,150,177.75
10CAN Cancun,50LOH,Leo CUN,100,118.5
10CAN Cancun,50LPZ,Pakal CUN,50,59.25
10CAN Cancun,50LSO,Del Sol CUN,45,53.325
10CAN Cancun,50MTO,Noventa y Nueve CUN,150,177.75
10CAN Cancun,50N17,Lazaro Cardenas CUN,200,237
10CAN Cancun,50N57,Lombardo  CUN,225,266.625
10CAN Cancun,50NAH,Acanceh CUN,225,266.625
10CAN Cancun,50NBM,Barrio Maya II CUN,50,59.25
10CAN Cancun,50NNB,Barrio Maya CUN,200,237
10CAN Cancun,50NND,Dadys CUN,360,426.6
10CAN Cancun,50NNQ,El Quetzal CUN,50,59.25
10CAN Cancun,50NNR,Ruta 5 CUN,50,59.25
10CAN Cancun,50NNX,Xpuhil Norte CUN,135,159.975
10CAN Cancun,50NPJ,Puerto Juarez CUN,45,53.325
10CAN Cancun,50NRS,Ruta 7 CUN,100,118.5
10CAN Cancun,50NTM,Tierra Maya CUN,400,474
10CAN Cancun,50NZY,Centenario NorteCUN,50,59.25
10CAN Cancun,50O4I,Gas Kabah CUN,50,59.25
10CAN Cancun,50OFQ,Estrella del Mar CUN,50,59.25
10CAN Cancun,50OIX,Islas II CUN,135,159.975
10CAN Cancun,50PCN,Yalmakan CUN,1080,1279.8
10CAN Cancun,50PCT,Gladiolas CUN,100,118.5
10CAN Cancun,50PKZ,Plaza CUN,50,59.25
10CAN Cancun,50PYT,Pino CUN,200,237
10CAN Cancun,50QCX,Villa Otoch II CUN,50,59.25
10CAN Cancun,50QGX,Morelos CUN,50,59.25
10CAN Cancun,50QIW,Batallon CUN,100,118.5
10CAN Cancun,50QKM,Mirador CUN,200,237
10CAN Cancun,50QXM,Monaco CUN,135,159.975
10CAN Cancun,50R0G,Tomi CUN,150,177.75
10CAN Cancun,50RAI,Paraiso CUN,100,118.5
10CAN Cancun,50RJE,Industrial CUN,200,237
10CAN Cancun,50RM3,Sacbe CUN,50,59.25
10CAN Cancun,50SIF,Nichupte CUN,495,586.575
10CAN Cancun,50SYQ,Sunyaxchen CUN,135,159.975
10CAN Cancun,50TKP,KAYBAL CUN,270,319.95
10CAN Cancun,50TUM,Tulum II CUN,100,118.5
10CAN Cancun,50UBT,Grillos CUN,90,106.65
10CAN Cancun,50ULG,Isla Centro CUN,1260,1493.1
10CAN Cancun,50UMH,Tucan CUN,450,533.25
10CAN Cancun,50UPW,Yaakun CUN,50,59.25
10CAN Cancun,50UX0,ADO CUN,45,53.325
10CAN Cancun,50UXA,Uxmal CUN,50,59.25
