EmpleadoID,CentroTrabajoID,ComponenteID,Fecha,Monto,Comentarios,Aprobado,FechaAprobacion,Aprobador,Insercion,Cancelado_Por,Fecha_Cancelacion,Autorizado
00123392,TIE-10PCK50WQP,INCENTIVO EXTRAORDINARIO,10/06/2025,47.40,Concurso Cigarros PMI SEMANA 6,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00123392,TIE-10PCK50WQP,INCENTIVO EXTRAORDINARIO,13/06/2025,2000.00,Concurso campeones cerveceros,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00123392,TIE-10PCK50WQP,INCENTIVO EXTRAORDINARIO,15/06/2025,47.40,Concurso Cigarros PMI SEMANA 5,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00123392,TIE-10PCK50WQP,INCENTIVO EXTRAORDINARIO,22/06/2025,11.50,Retroactivo Incentivo SPIN,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00123392,TIE-10PCK50WQP,INCENTIVO EXTRAORDINARIO,23/06/2025,237.00,CC Provence Sem 4,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00123392,TIE-10PCK50WQP,INCENTIVO EXTRAORDINARIO,27/06/2025,237.00,Concurso PMI Ola 2 Semana 3 - CCs Provence,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00123392,TIE-10PCK50WQP,INCENTIVO EXTRAORDINARIO,28/06/2025,136.28,PXP CC PROVENCE SEM 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00164744,TIE-10MON50RHU,INCENTIVO EXTRAORDINARIO,01/06/2025,201.45,PXP CC PROVENCE SEM 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00164744,TIE-10MON50RHU,INCENTIVO EXTRAORDINARIO,06/06/2025,86.58,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00164744,TIE-10MON50RHU,INCENTIVO EXTRAORDINARIO,07/06/2025,298.50,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
00164744,TIE-10MON50RHU,INCENTIVO EXTRAORDINARIO,11/06/2025,23.70,Concurso PMI Ola 2 Semana 3 - CCs Provence,SI,30/06/2025,INTERFAZE,30/06/2025,,,
00164744,TIE-10MON50RHU,INCENTIVO EXTRAORDINARIO,16/06/2025,10.00,Retroactivo Incentivo SPIN,SI,30/06/2025,INTERFAZE,30/06/2025,,,
00164744,TIE-10MON50RHU,INCENTIVO EXTRAORDINARIO,24/06/2025,94.80,CC Provence Sem 4,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00208016,TIE-10MXL50QZE,INCENTIVO EXTRAORDINARIO,01/06/2025,106.65,PXP CC PROVENCE SEM 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00208016,TIE-10MXL50QZE,INCENTIVO EXTRAORDINARIO,06/06/2025,143.15,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00208016,TIE-10MXL50QZE,INCENTIVO EXTRAORDINARIO,07/06/2025,216.50,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
