Tienda,CR Tienda,Plaza.,CR Plaza,CERVEZA
Star MID,50RKA,10CAN Merida,10CAN,2
Bacalar I MID,50RPG,10CAN Merida,10CAN,2
Montes de Ame MID,50RXC,10CAN Merida,10CAN,2
Pedregales MID,50SAB,10CAN Merida,10CAN,2
San Juanistas MID,50SJT,10CAN Merida,10CAN,2
IMSS Valladolid MID,50SL9,10CAN Merida,10CAN,2
Villa Francisco MID,50T0T,10CAN Merida,10CAN,2
Turquesa CUN,50T6K,10CAN Merida,10CAN,2
Terranova MID,50TNV,10CAN Merida,10CAN,2
Florida MID,50TTD,10CAN Merida,10CAN,2
Arenas MID,50U8D,10CAN Merida,10CAN,2
Chuminopolis MID,50UMI,10CAN Merida,10CAN,2
Canirac MID,50VAK,10CAN Merida,10CAN,2
Real Montejo MID,50VG9,10CAN Merida,10CAN,2
Arcos MID,50VRU,10CAN Merida,10CAN,2
Plaza Poligono MID,50VT5,10CAN Merida,10CAN,2
San Ignacio MID,50W6L,10CAN Merida,10CAN,2
Poligono MID,50WGZ,10CAN Merida,10CAN,2
Uaymitun MID,50XS0,10CAN Merida,10CAN,2
Magico MID,50XWX,10CAN Merida,10CAN,2
Santa Rita Cholul MID,50Y31,10CAN Merida,10CAN,2
Temozon Norte MID,50Y39,10CAN Merida,10CAN,2
Villas Cholul CUN,50Z2P,10CAN Merida,10CAN,2
El Pirata MID,50Z64,10CAN Merida,10CAN,2
La Estacion MID,50Z9W,10CAN Merida,10CAN,2
Libertadores MID,50ZN9,10CAN Merida,10CAN,2
Gas Portillo CUN,500H4,10CAN Cancun,10CAN,2
Serrania CUN,500KG,10CAN Cancun,10CAN,2
Uqroo CUN,501NW,10CAN Cancun,10CAN,2
Saona CUN,502E2,10CAN Cancun,10CAN,2
Valencia CUN,502NE,10CAN Cancun,10CAN,2
Xaman Kah CUN,502VE,10CAN Cancun,10CAN,2
IMSS Cuchilla CUN,503O2,10CAN Cancun,10CAN,2
Omni CUN,503R7,10CAN Cancun,10CAN,2
Ramonal CUN,505LJ,10CAN Cancun,10CAN,2
Mar Caribe CUN,5061C,10CAN Cancun,10CAN,2
Cabo CUN,5062M,10CAN Cancun,10CAN,2
Marlyn CUN,5078Z,10CAN Cancun,10CAN,2
Kanil CUN,507W8,10CAN Cancun,10CAN,2
Takh CUN,5083N,10CAN Cancun,10CAN,2
Toledano CUN,508KM,10CAN Cancun,10CAN,2
Terranova CUN,50943,10CAN Cancun,10CAN,2
Aloja CUN,509J8,10CAN Cancun,10CAN,2
La Cima CUN,509S3,10CAN Cancun,10CAN,2
Alejandria CUN,50AJR,10CAN Cancun,10CAN,2
Vivendi CUN,50AON,10CAN Cancun,10CAN,2
Coba CUN,50BCX,10CAN Cancun,10CAN,2
Ixtepec CUN,50BMD,10CAN Cancun,10CAN,2
Rejollada CUN,50BMI,10CAN Cancun,10CAN,2
Del Bosque CUN,50BOQ,10CAN Cancun,10CAN,2
Poxila CUN,50C58,10CAN Cancun,10CAN,2
Kabah CUN,50COK,10CAN Cancun,10CAN,2
Recondo CUN,50CVD,10CAN Cancun,10CAN,2
Eclipse CUN,50DS1,10CAN Cancun,10CAN,2
Cristal,50E8R,10CAN Cancun,10CAN,2
Villas Otoch CUN,50ERF,10CAN Cancun,10CAN,2
Margaritas CUN,50EUJ,10CAN Cancun,10CAN,2
Diamante CUN,50F2L,10CAN Cancun,10CAN,2
Puerto Marina CUN,50G9D,10CAN Cancun,10CAN,2
Yalahau CUN,50G9U,10CAN Cancun,10CAN,2
Aruba CUN,50GC2,10CAN Cancun,10CAN,2
Canarias CUN,50GH3,10CAN Cancun,10CAN,2
Talleres CUN,50GJA,10CAN Cancun,10CAN,2
Portobello CUN,50GJD,10CAN Cancun,10CAN,2
Tejas CUN,50GKQ,10CAN Cancun,10CAN,2
Terramar CUN,50GMV,10CAN Cancun,10CAN,2
Vista Real CUN,50GVK,10CAN Cancun,10CAN,2
Chac Mool CUN,50HML,10CAN Cancun,10CAN,2
San Miguel CUN,50HSX,10CAN Cancun,10CAN,2
Cascanueces CUN,50IU1,10CAN Cancun,10CAN,2
Galaxias del Sol CUN,50JKS,10CAN Cancun,10CAN,2
Las Lajas CUN,50JMK,10CAN Cancun,10CAN,2
Coqueto CUN,50K4U,10CAN Cancun,10CAN,2
