categoriaId,sociedadId,plazaId,PorcentajeSociedad
OHAP,F099,10ZAI Ramos Arizpe,0
OHAP,N099,10ZAI Ramos Arizpe,0
CIG,F099,10ZAI Ramos Arizpe,0
CIG,N099,10ZAI Ramos Arizpe,0
CIG3,F099,10ZAI Ramos Arizpe,0
CIG3,N099,10ZAI Ramos Arizpe,0
OHAP,F099,10ZAI Saltillo,0
OHAP,N099,10ZAI Saltillo,0
CIG,F099,10ZAI Saltillo,0
CIG,N099,10ZAI Saltillo,0
CIG3,F099,10ZAI Saltillo,0
CIG3,N099,10ZAI Saltillo,0
OHAP,F099,10ZAI Santa Catarina,0
OHAP,N099,10ZAI Santa Catarina,0
CIG,F099,10ZAI Santa Catarina,0
CIG,N099,10ZAI Santa Catarina,0
CIG3,F099,10ZAI Santa Catarina,0
CIG3,N099,10ZAI Santa Catarina,0
