PERNR;LGART;BEGDA;ANZHL;PTZEINH;BETRG;WAERS;ESTDT;ZUORD;DATUM;ZUTIMER;ZSTAT;ZFPROC;ZUTIME;ZUPROC;ZDESCST;ZINFOTIPO
03994563;110F;09/29/2025;0.00000000000000;;410.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05133443;110F;09/29/2025;0.00000000000000;;360.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05169000;110F;09/29/2025;0.00000000000000;;180.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05108285;110F;06/02/2025;0.00000000000000;;1350.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
03994563;110F;06/02/2025;0.00000000000000;;300.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05076624;110F;09/29/2025;0.00000000000000;;180.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05253759;110F;06/02/2025;0.00000000000000;;1350.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05076624;110F;06/02/2025;0.00000000000000;;180.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05353103;110F;06/02/2025;0.00000000000000;;360.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05264588;110F;09/29/2025;0.00000000000000;;360.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05255529;110F;06/02/2025;0.00000000000000;;1350.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05498367;110F;09/29/2025;0.00000000000000;;450.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
